"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message";"id";"about";"website";"talking_about_count"
"0";"1";"None";"208947112492576";"seed";"";"None";"None";"";"";"";"";"";""
"1";"2";"1";"208947112492576_3494074883979766";"data";"fetched (200)";"2020-12-28 19:52:15.024822";"Facebook:/<page-id>/posts";"";"🚪門柄識得自己消毒?  可以喺屋企輕鬆水耕種植新鮮蔬菜🥬？ 可以3D打印金屬骨頭🦴植入體內？  想知道更多 #創新 #科技 為我地帶嚟更智慧、更方便嘅生活？參觀位於 #創新科技嘉年華2020 展覧館1號嘅香港科技園虛擬展區，我哋20間園區公司為你展出以「#智創生活新常態」為題嘅 #創新科技 項目！  🎄聖誕節安坐家中🏠參觀科技園虛擬展區，大人小朋友一齊長知識！  創新科技嘉年華2020 🗓 2020年12月23日早上10時開始至31日晚上止 📍 https://stp.hk/InnoCarnival 👤 適合任何人士參加 ⭐️ 科技園展區位於展覽館1號  #上線同你歡渡聖誕 #聖誕好去處  #網上展覽 #我最喜愛創新科技 #創新科技嘉年華2020 #Virtual_InnoCarnival_2020  Innovation and Technology Commission 創新科技署";"208947112492576_3494074883979766";"";"";""
"1";"3";"1";"208947112492576_3494421627278425";"data";"fetched (200)";"2020-12-28 19:52:15.024822";"Facebook:/<page-id>/posts";"";"🔈有好消息！好開心大家對於 #我最喜愛創新科技 有獎遊戲反應非常熱烈🔥，100份禮物名額已🈵️！   🔈🔈 一個更好嘅消息係⋯為答謝大家嘅支持，我哋決定「加碼」送出額外100份禮物🎁🎁🎁😱！   👇🏼👇🏼👇🏼即睇以下有關遊戲詳情嘅帖文，選出你最喜愛嘅 #創新 #科技💡！今次真係禮物送完即止☺️！   #上線同你歡渡聖誕 #聖誕好去處  #網上展覽 #我最喜愛創新科技 #創新科技嘉年華2020 #Virtual_InnoCarnival_2020 Innovation and Technology Commission 創新科技署";"208947112492576_3494421627278425";"";"";""
"1";"4";"1";"208947112492576_3494086960645225";"data";"fetched (200)";"2020-12-28 19:52:15.024822";"Facebook:/<page-id>/posts";"";"HK10X： 創科，是一種啟發  每遇上問題，創科者往往產生研究解決辦法的動力，繼而堅持努力，為大家帶來不一樣的世界。這就是HK10X創科精神。  點擊片段，看看我們的夥伴公司Ampd Energy 的共同創辦人暨行政總裁Brandon 和夥伴公司Ecoinno 的創辦人暨行政總裁George，眼見身邊有著影響社會環境生態的各種問題，以HK10X精神致力研發全新環保技術，為社會帶來更潔淨的能源和可自然分解的餐具。  閱讀HK01專訪：https://stp.hk/3haQ0kN 激發你的創科精神： https://stp.hk/3rnOBMw  #創科精神 #HK10X創科先鋒 #HK10X #環保科技 #綠色科技 #HKSTP #香港科技園";"208947112492576_3494086960645225";"";"";""
"1";"5";"1";"208947112492576_3493939343993320";"data";"fetched (200)";"2020-12-28 19:52:15.024822";"Facebook:/<page-id>/posts";"";"全城響應創新 實現無限可能   擁有承載創科的初心， 加上解決社會挑戰的決心， 你，就是下一個創新者！  財政司司長陳茂波先生、創科局局長薛永恒先生、香港科技園行政總裁黃克強先生以及老友記羅蘭女士邀請大家參加「城市創科大挑戰」，齊齊Be an Innovator — 攜手智創香港新常態，發掘創新方案，推動城市邁步向前。  即上 https://www.citytechgc.hk 參加比賽，讓我們集思廣益， 砥礪前行 。  ----------  「城市創科大挑戰」由創新科技署主辦，香港科技園協辦，志在集合全球以至國際創新思維，解決城市挑戰，建立更好未來。  #城市創科大挑戰 #智創香港新常態 #環境的可持續發展 #保持社交聯繫 #BeAnInnovator #創新科技署 #香港科技園 #CityTechGCHK";"208947112492576_3493939343993320";"";"";""
"1";"6";"1";"208947112492576_3487540064633248";"data";"fetched (200)";"2020-12-28 19:52:15.024822";"Facebook:/<page-id>/posts";"";"#創新科技嘉年華2020 上線同你歡渡聖誕🎄！立即分享於香港科技園虛擬展區內你最喜愛嘅 #創新科技💡就有機會得到精美曲奇一盒🎁！   究竟「#新常態」下創新科技可以點樣為我哋帶嚟更智慧、更方便嘅生活？參觀位於展覧館1號嘅香港科技園虛擬展區，我哋20間園區公司為你展出以「#智創生活新常態」為題嘅 #創新 #科技 項目！邊個項目係你最喜愛呢？   由而家開始至12月31日，完成指定步驟及最快提交答案的首100位參加者，即有機會獲得匡智佳味雜錦曲奇乙盒。  遊戲玩法： 1. 【LIKE/讚好】「Hong Kong Science Park」Facebook 專頁 2. 【LIKE/讚好】及【SHARE/分享】此帖文（必須設定為公開） 3. 參觀位於展覽館1號的香港科技園虛擬展區： https://stp.hk/InnoCarnival 4. 按「展品」瀏覽並選出你最喜愛嘅創新科技項目 5. 填妥網上表格：https://stp.hk/3ac0wXB 6. 遊戲日期: 由2020年12月23日早上10時開始，至31日晚上11時59分止，或禮物送完即止 7. 每人只限以一個 Facebook 帳戶參加遊戲一次，重複提交表格不作計算 8. 參加時間以提交遊戲參加表格的電腦紀錄為準 9. 得獎者將收到電郵通知有關領獎安排 10. 如有任何爭議，香港科技園公司保留最終決定權 11. 詳細條款及細則請參閱網上表格：https://stp.hk/3ac0wXB  創新科技嘉年華2020 🗓 2020年12月23日早上10時開始至31日晚上止 📍 https://stp.hk/InnoCarnival 👤 適合任何人士參加 ⭐️ 科技園展區位於展覽館1號  大家安坐家中🏠都可以體驗一系列應對新常態的智慧生活創科方案！大人小朋友都有節目長知識！  #上線同你歡渡聖誕 #聖誕好去處  #網上展覽 #我最喜愛創新科技 #創新科技嘉年華2020 #Virtual_InnoCarnival_2020  Innovation and Technology Commission 創新科技署";"208947112492576_3487540064633248";"";"";""
"1";"7";"1";"208947112492576_3491580794229175";"data";"fetched (200)";"2020-12-28 19:52:15.024822";"Facebook:/<page-id>/posts";"";"園區初創獲獎數字打破歷屆紀錄 展示非凡實力  體現創新精神    多間科技園夥伴企業及培育公司於2020年香港資訊及通訊科技獎表現超卓，合共囊括35項殊榮；當中更有五間園區公司分別勇奪八個獎項類別中的五項大獎，其中培育公司Blutech IoT Ltd. 更力壓群雄，奪得本年度的「全年大獎」。  各大獎項一覽：  全年大獎及資訊科技初創企業大獎 - Blutech IoT Ltd.  數碼娛樂大獎 - 3MindWave Ltd.  金融科技大獎 - 有光集團有限公司  智慧生活大獎 - 萬信電子科技有限公司  智慧市民大獎 - 逢發織造有限公司  我們衷心祝賀眾多獲獎公司，並將繼續致力培育初創，匯聚人才，促進交流，推動整體創科發展。即上 https://stp.hk/3hcFTMq 了解各獎項獲獎資料。  #香港資訊及通訊科技獎2020 #香港科技園 #初創 #人才 #創科";"208947112492576_3491580794229175";"";"";""
"1";"8";"1";"208947112492576_3491028917617696";"data";"fetched (200)";"2020-12-28 19:52:15.024822";"Facebook:/<page-id>/posts";"";"好快就迎接聖誕節啦🎄🎅🏻！祝大家有一個充滿歡樂同愛嘅節日假期❤️，同家人朋友以全新氣象迎接2021🥳🤩  我們特意凖備了HKSTP WhatsApp Stickers等您與關心的人分享喜悅。立即下載：http://stp.hk/xmas2020stickers   #HKSTP #MerryXmas #HappyHolidays #HappyNewYear     —  Christmas is only a few days away! We wish you and your family a joyful and peaceful holiday season filled with love and blessing.   Share well-wishes with everyone you care about and put a smile on their faces with HKSTP WhatsApp Stickers.  Download now: http://stp.hk/xmas2020stickers  #HKSTP #MerryXmas #HappyHolidays #HappyNewYear";"208947112492576_3491028917617696";"";"";""
"1";"9";"1";"208947112492576_3489106247809963";"data";"fetched (200)";"2020-12-28 19:52:15.024822";"Facebook:/<page-id>/posts";"";"成為創新先鋒  攜手智創香港  每一代能夠進步向前，都有賴一班追求創新的先鋒。  縱然疫情打破環境和社會的固有常態，只要有創新的心，我們都可以將考驗轉成新機，將想像變成事實—解決城市以至世界遇到的難題，令環境持續發展，保持社交聯繫。  即上 https://www.citytechgc.hk 參加城市創科大挑戰，一齊實踐創意，創造未來。  ---------- 「城市創科大挑戰」由創新科技署主辦，香港科技園協辦，志在集合全球以至國際創新思維，解決城市挑戰，建立更好未來。  #城市創科大挑戰 #智創香港新常態 #環境的可持續發展 #保持社交聯繫 #BeAnInnovator #創新科技署 #香港科技園 #CityTechGCHK";"208947112492576_3489106247809963";"";"";""
"1";"10";"1";"208947112492576_3488810671172854";"data";"fetched (200)";"2020-12-28 19:52:15.024822";"Facebook:/<page-id>/posts";"";"以科技革新生活 帶來非凡發展  創新雖始於創意, 卻建基於研發之上。  香港的創科精神不僅激勵人心 , 更奠下行動基石。香港科學園擁有先進的科研設施和服務 , 是你著實研發創新科技的理想平台 , 讓新知識強化業務策略、孕育革新產品和服務。  瀏覽下列圖片，了解香港科學園的研發資源 , 以科技改善生活。  此外，還可詳閱以下內容，了解香港及科技園公司的生活實驗室如何為智慧城市應用提供開放的綜合測試環境，繼而打造成理想試驗場： https://stp.hk/3rg2xrK  激發你的創科精神：https://stp.hk/3rnC7EH  #十倍發展 #HK10X #HKSTP #香港科學園 #香港人才  —  What starts innovation? Creativity. What makes innovation? R&D.  Hong Kong is not only a place that inspires, but also the hub for real actions. With state-of-the-art research and development resources, HKSTP offers the perfect platform for testing your next great innovation, where new knowledge allows for enhanced strategies to arise, and revolutionary products and services to mature.  Swipe through the images to learn how HKSTP can equip you with the R&D resources to transform lives!  Also, check out Hong Kong’s attributes that make it the ideal proving ground for smart city solutions, and how HKSTP’s living lab approach is creating a fully open integrated testing environment for smart city initiatives: https://stp.hk/34ziEHg  Ignite your pioneering spirit: https://stp.hk/3rdkvLn  #HK10XTransformation #HK10X #HKSTP #ResearchDevelopment";"208947112492576_3488810671172854";"";"";""
